Date,Pressure
2021/08/06 0:00,997.6,
2021/08/06 0:01,997.6,
2021/08/06 0:02,997.6,
2021/08/06 0:03,997.6,
2021/08/06 0:04,997.6,
2021/08/06 0:05,997.6,
2021/08/06 0:06,997.6,
2021/08/06 0:07,997.6,
2021/08/06 0:08,997.6,
2021/08/06 0:09,997.6,
2021/08/06 0:10,997.6,
2021/08/06 0:11,997.6,
2021/08/06 0:12,997.6,
2021/08/06 0:13,997.6,
2021/08/06 0:14,997.6,
2021/08/06 0:15,997.5,
2021/08/06 0:16,997.6,
2021/08/06 0:17,997.5,
2021/08/06 0:18,997.5,
2021/08/06 0:19,997.5,
2021/08/06 0:20,997.5,
2021/08/06 0:21,997.3,
2021/08/06 0:22,997.3,
2021/08/06 0:23,997.3,
2021/08/06 0:24,997.2,
2021/08/06 0:25,997.3,
2021/08/06 0:26,997.2,
2021/08/06 0:27,997.2,
2021/08/06 0:28,997.2,
2021/08/06 0:29,997.2,
2021/08/06 0:30,997.3,
2021/08/06 0:31,997.3,
2021/08/06 0:32,997.2,
2021/08/06 0:33,997.3,
2021/08/06 0:34,997.2,
2021/08/06 0:35,997.2,
2021/08/06 0:36,997.2,
2021/08/06 0:37,997.2,
2021/08/06 0:38,997.2,
2021/08/06 0:39,997.2,
2021/08/06 0:40,997.2,
2021/08/06 0:41,997.2,
2021/08/06 0:42,997.2,
2021/08/06 0:43,997.2,
2021/08/06 0:44,997.3,
2021/08/06 0:45,997.3,
2021/08/06 0:46,997.3,
2021/08/06 0:47,997.3,
2021/08/06 0:48,997.5,
2021/08/06 0:49,997.5,
2021/08/06 0:50,997.5,
2021/08/06 0:51,997.5,
2021/08/06 0:52,997.5,
2021/08/06 0:53,997.5,
2021/08/06 0:54,997.5,
2021/08/06 0:55,997.6,
2021/08/06 0:56,997.6,
2021/08/06 0:57,997.6,
2021/08/06 0:58,997.6,
2021/08/06 0:59,997.6,
2021/08/06 1:00,997.5,
2021/08/06 1:01,997.6,
2021/08/06 1:02,997.5,
2021/08/06 1:03,997.5,
2021/08/06 1:04,997.5,
2021/08/06 1:05,997.6,
2021/08/06 1:06,997.6,
2021/08/06 1:07,997.6,
2021/08/06 1:08,997.6,
2021/08/06 1:09,997.6,
2021/08/06 1:10,997.6,
2021/08/06 1:11,997.6,
2021/08/06 1:12,997.6,
2021/08/06 1:13,997.6,
2021/08/06 1:14,997.6,
2021/08/06 1:15,997.7,
2021/08/06 1:16,997.7,
2021/08/06 1:17,997.7,
2021/08/06 1:18,997.7,
2021/08/06 1:19,997.7,
2021/08/06 1:20,997.7,
2021/08/06 1:21,997.6,
2021/08/06 1:22,997.6,
2021/08/06 1:23,997.6,
2021/08/06 1:24,997.6,
2021/08/06 1:25,997.6,
2021/08/06 1:26,997.6,
2021/08/06 1:27,997.6,
2021/08/06 1:28,997.6,
2021/08/06 1:29,997.6,
2021/08/06 1:30,997.5,
2021/08/06 1:31,997.5,
2021/08/06 1:32,997.5,
2021/08/06 1:33,997.5,
2021/08/06 1:34,997.5,
2021/08/06 1:35,997.5,
2021/08/06 1:36,997.5,
2021/08/06 1:37,997.6,
2021/08/06 1:38,997.6,
2021/08/06 1:39,997.5,
2021/08/06 1:40,997.6,
2021/08/06 1:41,997.6,
2021/08/06 1:42,997.5,
2021/08/06 1:43,997.5,
2021/08/06 1:44,997.5,
2021/08/06 1:45,997.6,
2021/08/06 1:46,997.6,
2021/08/06 1:47,997.6,
2021/08/06 1:48,997.6,
2021/08/06 1:49,997.6,
2021/08/06 1:50,997.6,
2021/08/06 1:51,997.6,
2021/08/06 1:52,997.6,
2021/08/06 1:53,997.5,
2021/08/06 1:54,997.5,
2021/08/06 1:55,997.5,
2021/08/06 1:56,997.5,
2021/08/06 1:57,997.5,
2021/08/06 1:58,997.5,
2021/08/06 1:59,997.5,
2021/08/06 2:00,997.5,
2021/08/06 2:01,997.3,
2021/08/06 2:02,997.3,
2021/08/06 2:03,997.2,
2021/08/06 2:04,997.2,
2021/08/06 2:05,997.2,
2021/08/06 2:06,997.2,
2021/08/06 2:07,997.2,
2021/08/06 2:08,997.2,
2021/08/06 2:09,997.2,
2021/08/06 2:10,997.2,
2021/08/06 2:11,997.2,
2021/08/06 2:12,997.2,
2021/08/06 2:13,997.2,
2021/08/06 2:14,997.2,
2021/08/06 2:15,997.1,
2021/08/06 2:16,997.0,
2021/08/06 2:17,997.0,
2021/08/06 2:18,997.0,
2021/08/06 2:19,997.0,
2021/08/06 2:20,997.1,
2021/08/06 2:21,997.1,
2021/08/06 2:22,997.1,
2021/08/06 2:23,997.1,
2021/08/06 2:24,997.0,
2021/08/06 2:25,997.0,
2021/08/06 2:26,997.0,
2021/08/06 2:27,997.1,
2021/08/06 2:28,997.0,
2021/08/06 2:29,997.0,
2021/08/06 2:30,997.0,
2021/08/06 2:31,997.0,
2021/08/06 2:32,997.0,
2021/08/06 2:33,997.0,
2021/08/06 2:34,997.0,
2021/08/06 2:35,997.0,
2021/08/06 2:36,997.0,
2021/08/06 2:37,997.0,
2021/08/06 2:38,997.0,
2021/08/06 2:39,996.8,
2021/08/06 2:40,996.7,
2021/08/06 2:41,996.7,
2021/08/06 2:42,996.7,
2021/08/06 2:43,996.7,
2021/08/06 2:44,996.7,
2021/08/06 2:45,996.6,
2021/08/06 2:46,996.6,
2021/08/06 2:47,996.5,
2021/08/06 2:48,996.5,
2021/08/06 2:49,996.6,
2021/08/06 2:50,996.5,
2021/08/06 2:51,996.6,
2021/08/06 2:52,996.5,
2021/08/06 2:53,996.5,
2021/08/06 2:54,996.5,
2021/08/06 2:55,996.5,
2021/08/06 2:56,996.5,
2021/08/06 2:57,996.5,
2021/08/06 2:58,996.5,
2021/08/06 2:59,996.5,
2021/08/06 3:00,996.5,
2021/08/06 3:01,996.5,
2021/08/06 3:02,996.3,
2021/08/06 3:03,996.3,
2021/08/06 3:04,996.3,
2021/08/06 3:05,996.3,
2021/08/06 3:06,996.3,
2021/08/06 3:07,996.3,
2021/08/06 3:08,996.5,
2021/08/06 3:09,996.5,
2021/08/06 3:10,996.5,
2021/08/06 3:11,996.5,
2021/08/06 3:12,996.3,
2021/08/06 3:13,996.3,
2021/08/06 3:14,996.3,
2021/08/06 3:15,996.3,
2021/08/06 3:16,996.3,
2021/08/06 3:17,996.3,
2021/08/06 3:18,996.3,
2021/08/06 3:19,996.3,
2021/08/06 3:20,996.3,
2021/08/06 3:21,996.3,
2021/08/06 3:22,996.3,
2021/08/06 3:23,996.3,
2021/08/06 3:24,996.2,
2021/08/06 3:25,996.2,
2021/08/06 3:26,996.2,
2021/08/06 3:27,996.2,
2021/08/06 3:28,996.2,
2021/08/06 3:29,996.2,
2021/08/06 3:30,996.2,
2021/08/06 3:31,996.2,
2021/08/06 3:32,996.2,
2021/08/06 3:33,996.2,
2021/08/06 3:34,996.2,
2021/08/06 3:35,996.2,
2021/08/06 3:36,996.2,
2021/08/06 3:37,996.2,
2021/08/06 3:38,996.2,
2021/08/06 3:39,996.2,
2021/08/06 3:40,996.3,
2021/08/06 3:41,996.3,
2021/08/06 3:42,996.3,
2021/08/06 3:43,996.3,
2021/08/06 3:44,996.3,
2021/08/06 3:45,996.3,
2021/08/06 3:46,996.3,
2021/08/06 3:47,996.3,
2021/08/06 3:48,996.3,
2021/08/06 3:49,996.3,
2021/08/06 3:50,996.3,
2021/08/06 3:51,996.3,
2021/08/06 3:52,996.3,
2021/08/06 3:53,996.3,
2021/08/06 3:54,996.3,
