2021-08-15 02:13,----,1.96
2021-08-15 02:14,----,1.96
2021-08-15 02:15,----,1.96
2021-08-15 02:16,----,1.96
2021-08-15 02:17,----,1.96
2021-08-15 02:18,----,1.96
2021-08-15 02:19,----,1.96
2021-08-15 02:20,----,1.96
2021-08-15 02:21,----,1.96
2021-08-15 02:22,----,1.96
2021-08-15 02:23,----,1.96
2021-08-15 02:24,----,1.96
2021-08-15 02:25,----,1.96
2021-08-15 02:26,----,1.96
2021-08-15 02:27,----,1.96
2021-08-15 02:28,----,1.96
2021-08-15 02:29,----,1.96
2021-08-15 02:30,----,1.96
2021-08-15 02:31,----,1.96
2021-08-15 02:32,----,1.96
2021-08-15 02:33,----,1.96
2021-08-15 02:34,----,1.96
2021-08-15 02:35,----,1.96
2021-08-15 02:36,----,1.96
2021-08-15 02:37,----,1.96
2021-08-15 02:38,----,1.96
2021-08-15 02:39,----,1.96
2021-08-15 02:40,----,1.96
2021-08-15 02:41,----,1.96
2021-08-15 02:42,----,1.96
2021-08-15 02:43,----,1.96
2021-08-15 02:44,----,1.96
2021-08-15 02:45,----,1.96
2021-08-15 02:46,----,1.96
2021-08-15 02:47,----,1.96
2021-08-15 02:48,----,1.96
2021-08-15 02:49,----,1.96
2021-08-15 02:50,----,1.96
2021-08-15 02:51,----,1.95
2021-08-15 02:52,----,1.95
2021-08-15 02:53,----,1.95
2021-08-15 02:54,----,1.95
2021-08-15 02:55,----,1.95
2021-08-15 02:56,----,1.95
2021-08-15 02:57,----,1.95
2021-08-15 02:58,----,1.95
2021-08-15 02:59,----,1.94
2021-08-15 03:00,----,1.94
2021-08-15 03:01,----,1.94
2021-08-15 03:02,----,1.94
2021-08-15 03:03,----,1.94
2021-08-15 03:04,----,1.94
2021-08-15 03:05,----,1.93
2021-08-15 03:06,----,1.93
2021-08-15 03:07,----,1.93
2021-08-15 03:08,----,1.93
2021-08-15 03:09,----,1.93
2021-08-15 03:10,----,1.93
2021-08-15 03:11,----,1.93
2021-08-15 03:12,----,1.92
2021-08-15 03:13,----,1.92
2021-08-15 03:14,----,1.92
2021-08-15 03:15,----,1.92
2021-08-15 03:16,----,1.92
2021-08-15 03:17,----,1.92
2021-08-15 03:18,----,1.91
2021-08-15 03:19,----,1.91
2021-08-15 03:20,----,1.91
2021-08-15 03:21,----,1.91
2021-08-15 03:22,----,1.91
2021-08-15 03:23,----,1.90
2021-08-15 03:24,----,1.90
2021-08-15 03:25,----,1.90
2021-08-15 03:26,----,1.90
2021-08-15 03:27,----,1.90
2021-08-15 03:28,----,1.89
2021-08-15 03:29,----,1.89
2021-08-15 03:30,----,1.89
2021-08-15 03:31,----,1.89
2021-08-15 03:32,----,1.88
2021-08-15 03:33,----,1.88
2021-08-15 03:34,----,1.88
2021-08-15 03:35,----,1.88
2021-08-15 03:36,----,1.88
2021-08-15 03:37,----,1.87
2021-08-15 03:38,----,1.87
2021-08-15 03:39,----,1.87
2021-08-15 03:40,----,1.87
2021-08-15 03:41,----,1.86
2021-08-15 03:42,----,1.86
2021-08-15 03:43,----,1.86
2021-08-15 03:44,----,1.86
2021-08-15 03:45,----,1.85
2021-08-15 03:46,----,1.85
2021-08-15 03:47,----,1.85
2021-08-15 03:48,----,1.85
2021-08-15 03:49,----,1.84
2021-08-15 03:50,----,1.84
2021-08-15 03:51,----,1.84
2021-08-15 03:52,----,1.83
2021-08-15 03:53,----,1.83
2021-08-15 03:54,----,1.83
2021-08-15 03:55,----,1.83
2021-08-15 03:56,----,1.82
2021-08-15 03:57,----,1.82
2021-08-15 03:58,----,1.82
2021-08-15 03:59,----,1.82
2021-08-15 04:00,----,1.81
2021-08-15 04:01,----,1.81
2021-08-15 04:02,----,1.81
2021-08-15 04:03,----,1.80
2021-08-15 04:04,----,1.80
2021-08-15 04:05,----,1.80
2021-08-15 04:06,----,1.80
2021-08-15 04:07,----,1.79
2021-08-15 04:08,----,1.79
2021-08-15 04:09,----,1.79
2021-08-15 04:10,----,1.78
2021-08-15 04:11,----,1.78
2021-08-15 04:12,----,1.78
2021-08-15 04:13,----,1.77
2021-08-15 04:14,----,1.77
2021-08-15 04:15,----,1.77
2021-08-15 04:16,----,1.76
2021-08-15 04:17,----,1.76
2021-08-15 04:18,----,1.76
2021-08-15 04:19,----,1.75
2021-08-15 04:20,----,1.75
2021-08-15 04:21,----,1.75
2021-08-15 04:22,----,1.74
2021-08-15 04:23,----,1.74
2021-08-15 04:24,----,1.74
2021-08-15 04:25,----,1.73
2021-08-15 04:26,----,1.73
2021-08-15 04:27,----,1.72
2021-08-15 04:28,----,1.72
2021-08-15 04:29,----,1.72
2021-08-15 04:30,----,1.71
2021-08-15 04:31,----,1.71
2021-08-15 04:32,----,1.71
2021-08-15 04:33,----,1.70
2021-08-15 04:34,----,1.70
2021-08-15 04:35,----,1.70
2021-08-15 04:36,----,1.69
2021-08-15 04:37,----,1.69
2021-08-15 04:38,----,1.68
2021-08-15 04:39,----,1.68
2021-08-15 04:40,----,1.68
2021-08-15 04:41,----,1.67
2021-08-15 04:42,----,1.67
2021-08-15 04:43,----,1.67
2021-08-15 04:44,----,1.66
2021-08-15 04:45,----,1.66
2021-08-15 04:46,----,1.65
2021-08-15 04:47,----,1.65
2021-08-15 04:48,----,1.65
2021-08-15 04:49,----,1.64
2021-08-15 04:50,----,1.64
2021-08-15 04:51,----,1.64
2021-08-15 04:52,----,1.63
2021-08-15 04:53,----,1.63
2021-08-15 04:54,----,1.62
2021-08-15 04:55,----,1.62
2021-08-15 04:56,----,1.62
2021-08-15 04:57,----,1.61
2021-08-15 04:58,----,1.61
2021-08-15 04:59,----,1.61
2021-08-15 05:00,----,1.60
2021-08-15 05:01,----,1.60
2021-08-15 05:02,----,1.60
2021-08-15 05:03,----,1.59
2021-08-15 05:04,----,1.59
2021-08-15 05:05,----,1.59
2021-08-15 05:06,----,1.58
2021-08-15 05:07,----,1.58
2021-08-15 05:08,----,1.58
2021-08-15 05:09,----,1.57
2021-08-15 05:10,----,1.57
2021-08-15 05:11,----,1.56
2021-08-15 05:12,----,1.56
2021-08-15 05:13,----,1.56
2021-08-15 05:14,----,1.55
2021-08-15 05:15,----,1.55
2021-08-15 05:16,----,1.55
2021-08-15 05:17,----,1.54
2021-08-15 05:18,----,1.54
2021-08-15 05:19,----,1.54
2021-08-15 05:20,----,1.53
2021-08-15 05:21,----,1.53
2021-08-15 05:22,----,1.52
2021-08-15 05:23,----,1.52
2021-08-15 05:24,----,1.52
2021-08-15 05:25,----,1.51
2021-08-15 05:26,----,1.51
2021-08-15 05:27,----,1.51
2021-08-15 05:28,----,1.50
2021-08-15 05:29,----,1.50
2021-08-15 05:30,----,1.50
2021-08-15 05:31,----,1.49
2021-08-15 05:32,----,1.49
2021-08-15 05:33,----,1.48
2021-08-15 05:34,----,1.48
2021-08-15 05:35,----,1.48
2021-08-15 05:36,----,1.47
2021-08-15 05:37,----,1.47
2021-08-15 05:38,----,1.47
2021-08-15 05:39,----,1.46
2021-08-15 05:40,----,1.46
2021-08-15 05:41,----,1.46
2021-08-15 05:42,----,1.45
2021-08-15 05:43,----,1.45
2021-08-15 05:44,----,1.45
2021-08-15 05:45,----,1.44
2021-08-15 05:46,----,1.44
2021-08-15 05:47,----,1.44
2021-08-15 05:48,----,1.43
2021-08-15 05:49,----,1.43
2021-08-15 05:50,----,1.43
2021-08-15 05:51,----,1.42
2021-08-15 05:52,----,1.42
2021-08-15 05:53,----,1.42
2021-08-15 05:54,----,1.41
2021-08-15 05:55,----,1.41
2021-08-15 05:56,----,1.41
2021-08-15 05:57,----,1.40
2021-08-15 05:58,----,1.40
2021-08-15 05:59,----,1.40
2021-08-15 06:00,----,1.39
2021-08-15 06:01,----,1.39
2021-08-15 06:02,----,1.39
2021-08-15 06:03,----,1.38
2021-08-15 06:04,----,1.38
2021-08-15 06:05,----,1.38
2021-08-15 06:06,----,1.37
2021-08-15 06:07,----,1.37
2021-08-15 06:08,----,1.37
2021-08-15 06:09,----,1.37
2021-08-15 06:10,----,1.36
2021-08-15 06:11,----,1.36
2021-08-15 06:12,----,1.36
2021-08-15 06:13,----,1.35
2021-08-15 06:14,----,1.35
2021-08-15 06:15,----,1.35
2021-08-15 06:16,----,1.34
2021-08-15 06:17,----,1.34
2021-08-15 06:18,----,1.34
2021-08-15 06:19,----,1.33
2021-08-15 06:20,----,1.33
2021-08-15 06:21,----,1.33
2021-08-15 06:22,----,1.33
2021-08-15 06:23,----,1.32
2021-08-15 06:24,----,1.32
2021-08-15 06:25,----,1.32
2021-08-15 06:26,----,1.31
2021-08-15 06:27,----,1.31
2021-08-15 06:28,----,1.31
2021-08-15 06:29,----,1.31
2021-08-15 06:30,----,1.30
2021-08-15 06:31,----,1.30
2021-08-15 06:32,----,1.30
2021-08-15 06:33,----,1.29
2021-08-15 06:34,----,1.29
2021-08-15 06:35,----,1.29
2021-08-15 06:36,----,1.29
2021-08-15 06:37,----,1.28
2021-08-15 06:38,----,1.28
2021-08-15 06:39,----,1.28
2021-08-15 06:40,----,1.28
2021-08-15 06:41,----,1.27
2021-08-15 06:42,----,1.27
2021-08-15 06:43,----,1.27
2021-08-15 06:44,----,1.27
2021-08-15 06:45,----,1.26
2021-08-15 06:46,----,1.26
2021-08-15 06:47,----,1.26
2021-08-15 06:48,----,1.26
2021-08-15 06:49,----,1.25
2021-08-15 06:50,----,1.25
2021-08-15 06:51,----,1.25
2021-08-15 06:52,----,1.25
2021-08-15 06:53,----,1.24
2021-08-15 06:54,----,1.24
2021-08-15 06:55,----,1.24
2021-08-15 06:56,----,1.24
2021-08-15 06:57,----,1.24
2021-08-15 06:58,----,1.24
2021-08-15 06:59,----,1.23
2021-08-15 07:00,----,1.23
2021-08-15 07:01,----,1.23
2021-08-15 07:02,----,1.23
2021-08-15 07:03,----,1.23
2021-08-15 07:04,----,1.22
2021-08-15 07:05,----,1.22
2021-08-15 07:06,----,1.22
2021-08-15 07:07,----,1.22
2021-08-15 07:08,----,1.22
2021-08-15 07:09,----,1.21
2021-08-15 07:10,----,1.21
2021-08-15 07:11,----,1.21
2021-08-15 07:12,----,1.21
2021-08-15 07:13,----,1.21
2021-08-15 07:14,----,1.21
2021-08-15 07:15,----,1.21
2021-08-15 07:16,----,1.20
2021-08-15 07:17,----,1.20
2021-08-15 07:18,----,1.20
2021-08-15 07:19,----,1.20
2021-08-15 07:20,----,1.20
2021-08-15 07:21,----,1.20
2021-08-15 07:22,----,1.20
2021-08-15 07:23,----,1.20
2021-08-15 07:24,----,1.20
2021-08-15 07:25,----,1.20
2021-08-15 07:26,----,1.20
2021-08-15 07:27,----,1.20
2021-08-15 07:28,----,1.20
2021-08-15 07:29,----,1.19
2021-08-15 07:30,----,1.19
2021-08-15 07:31,----,1.19
2021-08-15 07:32,----,1.19
2021-08-15 07:33,----,1.19
2021-08-15 07:34,----,1.19
2021-08-15 07:35,----,1.19
2021-08-15 07:36,----,1.19
2021-08-15 07:37,----,1.19
2021-08-15 07:38,----,1.19
2021-08-15 07:39,----,1.19
2021-08-15 07:40,----,1.19
2021-08-15 07:41,----,1.19
2021-08-15 07:42,----,1.19
2021-08-15 07:43,----,1.19
2021-08-15 07:44,----,1.19
2021-08-15 07:45,----,1.19
2021-08-15 07:46,----,1.19
2021-08-15 07:47,----,1.19
2021-08-15 07:48,----,1.19
2021-08-15 07:49,----,1.19
2021-08-15 07:50,----,1.19
2021-08-15 07:51,----,1.19
2021-08-15 07:52,----,1.19
2021-08-15 07:53,----,1.19
2021-08-15 07:54,----,1.19
2021-08-15 07:55,----,1.19
2021-08-15 07:56,----,1.19
2021-08-15 07:57,----,1.19
2021-08-15 07:58,----,1.19
2021-08-15 07:59,----,1.20
2021-08-15 08:00,----,1.20
2021-08-15 08:01,----,1.20
2021-08-15 08:02,----,1.20
2021-08-15 08:03,----,1.20
2021-08-15 08:04,----,1.20
2021-08-15 08:05,----,1.20
2021-08-15 08:06,----,1.20
2021-08-15 08:07,----,1.21
2021-08-15 08:08,----,1.21
2021-08-15 08:09,----,1.21
2021-08-15 08:10,----,1.21
2021-08-15 08:11,----,1.21
2021-08-15 08:12,----,1.21
2021-08-15 08:13,----,1.21
2021-08-15 08:14,----,1.21
2021-08-15 08:15,----,1.21
2021-08-15 08:16,----,1.22
2021-08-15 08:17,----,1.22
2021-08-15 08:18,----,1.22
2021-08-15 08:19,----,1.22
2021-08-15 08:20,----,1.22
2021-08-15 08:21,----,1.22
2021-08-15 08:22,----,1.22
2021-08-15 08:23,----,1.22
2021-08-15 08:24,----,1.23
2021-08-15 08:25,----,1.23
2021-08-15 08:26,----,1.23
2021-08-15 08:27,----,1.23
2021-08-15 08:28,----,1.23
2021-08-15 08:29,----,1.23
2021-08-15 08:30,----,1.23
2021-08-15 08:31,----,1.24
2021-08-15 08:32,----,1.24
2021-08-15 08:33,----,1.24
2021-08-15 08:34,----,1.24
2021-08-15 08:35,----,1.24
2021-08-15 08:36,----,1.24
2021-08-15 08:37,----,1.25
2021-08-15 08:38,----,1.25
2021-08-15 08:39,----,1.25
2021-08-15 08:40,----,1.25
2021-08-15 08:41,----,1.25
2021-08-15 08:42,----,1.25
2021-08-15 08:43,----,1.26
2021-08-15 08:44,----,1.26
2021-08-15 08:45,----,1.26
2021-08-15 08:46,----,1.26
2021-08-15 08:47,----,1.26
2021-08-15 08:48,----,1.27
2021-08-15 08:49,----,1.27
2021-08-15 08:50,----,1.27
2021-08-15 08:51,----,1.27
2021-08-15 08:52,----,1.27
2021-08-15 08:53,----,1.27
2021-08-15 08:54,----,1.28
2021-08-15 08:55,----,1.28
2021-08-15 08:56,----,1.28
2021-08-15 08:57,----,1.28
2021-08-15 08:58,----,1.28
2021-08-15 08:59,----,1.29
2021-08-15 09:00,----,1.29
2021-08-15 09:01,----,1.29
2021-08-15 09:02,----,1.29
2021-08-15 09:03,----,1.29
2021-08-15 09:04,----,1.30
2021-08-15 09:05,----,1.30
2021-08-15 09:06,----,1.30
2021-08-15 09:07,----,1.30
2021-08-15 09:08,----,1.31
2021-08-15 09:09,----,1.31
2021-08-15 09:10,----,1.31
2021-08-15 09:11,----,1.31
2021-08-15 09:12,----,1.31
2021-08-15 09:13,----,1.32
2021-08-15 09:14,----,1.32
2021-08-15 09:15,----,1.32
2021-08-15 09:16,----,1.32
2021-08-15 09:17,----,1.33
2021-08-15 09:18,----,1.33
2021-08-15 09:19,----,1.33
2021-08-15 09:20,----,1.33
2021-08-15 09:21,----,1.34
2021-08-15 09:22,----,1.34
2021-08-15 09:23,----,1.34
2021-08-15 09:24,----,1.35
2021-08-15 09:25,----,1.35
2021-08-15 09:26,----,1.35
2021-08-15 09:27,----,1.35
2021-08-15 09:28,----,1.36
2021-08-15 09:29,----,1.36
2021-08-15 09:30,----,1.36
2021-08-15 09:31,----,1.36
2021-08-15 09:32,----,1.37
2021-08-15 09:33,----,1.37
2021-08-15 09:34,----,1.37
2021-08-15 09:35,----,1.38
2021-08-15 09:36,----,1.38
2021-08-15 09:37,----,1.38
2021-08-15 09:38,----,1.38
2021-08-15 09:39,----,1.39
2021-08-15 09:40,----,1.39
2021-08-15 09:41,----,1.39
2021-08-15 09:42,----,1.39
2021-08-15 09:43,----,1.40
2021-08-15 09:44,----,1.40
2021-08-15 09:45,----,1.40
2021-08-15 09:46,----,1.40
2021-08-15 09:47,----,1.41
2021-08-15 09:48,----,1.41
2021-08-15 09:49,----,1.41
2021-08-15 09:50,----,1.41
2021-08-15 09:51,----,1.42
2021-08-15 09:52,----,1.42
2021-08-15 09:53,----,1.42
2021-08-15 09:54,----,1.42
2021-08-15 09:55,----,1.43
2021-08-15 09:56,----,1.43
2021-08-15 09:57,----,1.43
2021-08-15 09:58,----,1.43
2021-08-15 09:59,----,1.44
2021-08-15 10:00,----,1.44
2021-08-15 10:01,----,1.44
2021-08-15 10:02,----,1.44
2021-08-15 10:03,----,1.44
2021-08-15 10:04,----,1.45
2021-08-15 10:05,----,1.45
2021-08-15 10:06,----,1.45
2021-08-15 10:07,----,1.45
2021-08-15 10:08,----,1.45
2021-08-15 10:09,----,1.46
2021-08-15 10:10,----,1.46
2021-08-15 10:11,----,1.46
2021-08-15 10:12,----,1.46
2021-08-15 10:13,----,1.46
2021-08-15 10:14,----,1.47
2021-08-15 10:15,----,1.47
2021-08-15 10:16,----,1.47
2021-08-15 10:17,----,1.47
2021-08-15 10:18,----,1.47
2021-08-15 10:19,----,1.48
2021-08-15 10:20,----,1.48
2021-08-15 10:21,----,1.48
2021-08-15 10:22,----,1.48
2021-08-15 10:23,----,1.48
2021-08-15 10:24,----,1.48
2021-08-15 10:25,----,1.49
2021-08-15 10:26,----,1.49
2021-08-15 10:27,----,1.49
2021-08-15 10:28,----,1.49
2021-08-15 10:29,----,1.49
2021-08-15 10:30,----,1.50
2021-08-15 10:31,----,1.50
2021-08-15 10:32,----,1.50
2021-08-15 10:33,----,1.50
2021-08-15 10:34,----,1.50
2021-08-15 10:35,----,1.50
2021-08-15 10:36,----,1.51
2021-08-15 10:37,----,1.51
2021-08-15 10:38,----,1.51
2021-08-15 10:39,----,1.51
2021-08-15 10:40,----,1.51
2021-08-15 10:41,----,1.51
2021-08-15 10:42,----,1.51
2021-08-15 10:43,----,1.52
2021-08-15 10:44,----,1.52
2021-08-15 10:45,----,1.52
2021-08-15 10:46,----,1.52
2021-08-15 10:47,----,1.52
2021-08-15 10:48,----,1.52
2021-08-15 10:49,----,1.52
2021-08-15 10:50,----,1.53
2021-08-15 10:51,----,1.53
2021-08-15 10:52,----,1.53
2021-08-15 10:53,----,1.53
2021-08-15 10:54,----,1.53
2021-08-15 10:55,----,1.53
2021-08-15 10:56,----,1.53
2021-08-15 10:57,----,1.54
2021-08-15 10:58,----,1.54
2021-08-15 10:59,----,1.54
2021-08-15 11:00,----,1.54
2021-08-15 11:01,----,1.54
2021-08-15 11:02,----,1.54
2021-08-15 11:03,----,1.54
2021-08-15 11:04,----,1.54
2021-08-15 11:05,----,1.54
2021-08-15 11:06,----,1.55
2021-08-15 11:07,----,1.55
2021-08-15 11:08,----,1.55
2021-08-15 11:09,----,1.55
2021-08-15 11:10,----,1.55
2021-08-15 11:11,----,1.55
2021-08-15 11:12,----,1.55
2021-08-15 11:13,----,1.55
2021-08-15 11:14,----,1.55
2021-08-15 11:15,----,1.55
2021-08-15 11:16,----,1.55
2021-08-15 11:17,----,1.55
2021-08-15 11:18,----,1.56
2021-08-15 11:19,----,1.56
2021-08-15 11:20,----,1.56
2021-08-15 11:21,----,1.56
2021-08-15 11:22,----,1.56
2021-08-15 11:23,----,1.56
2021-08-15 11:24,----,1.56
2021-08-15 11:25,----,1.56
2021-08-15 11:26,----,1.56
2021-08-15 11:27,----,1.56
2021-08-15 11:28,----,1.56
2021-08-15 11:29,----,1.56
2021-08-15 11:30,----,1.56
2021-08-15 11:31,----,1.56
2021-08-15 11:32,----,1.56
2021-08-15 11:33,----,1.56
2021-08-15 11:34,----,1.57
2021-08-15 11:35,----,1.57
2021-08-15 11:36,----,1.57
2021-08-15 11:37,----,1.57
2021-08-15 11:38,----,1.57
2021-08-15 11:39,----,1.57
2021-08-15 11:40,----,1.57
2021-08-15 11:41,----,1.57
2021-08-15 11:42,----,1.57
2021-08-15 11:43,----,1.57
2021-08-15 11:44,----,1.57
2021-08-15 11:45,----,1.57
2021-08-15 11:46,----,1.57
2021-08-15 11:47,----,1.57
2021-08-15 11:48,----,1.57
2021-08-15 11:49,----,1.57
2021-08-15 11:50,----,1.57
2021-08-15 11:51,----,1.57
2021-08-15 11:52,----,1.57
2021-08-15 11:53,----,1.58
2021-08-15 11:54,----,1.58
2021-08-15 11:55,----,1.58
2021-08-15 11:56,----,1.58
2021-08-15 11:57,----,1.58
2021-08-15 11:58,----,1.58
2021-08-15 11:59,----,1.58
2021-08-15 12:00,----,1.58
2021-08-15 12:01,----,1.58
2021-08-15 12:02,----,1.58
2021-08-15 12:03,----,1.58
2021-08-15 12:04,----,1.58
2021-08-15 12:05,----,1.58
2021-08-15 12:06,----,1.58
2021-08-15 12:07,----,1.58
2021-08-15 12:08,----,1.58
2021-08-15 12:09,----,1.59
2021-08-15 12:10,----,1.59
2021-08-15 12:11,----,1.59
2021-08-15 12:12,----,1.59
2021-08-15 12:13,----,1.59
2021-08-15 12:14,----,1.59
2021-08-15 12:15,----,1.59
2021-08-15 12:16,----,1.59
2021-08-15 12:17,----,1.59
2021-08-15 12:18,----,1.59
2021-08-15 12:19,----,1.59
2021-08-15 12:20,----,1.59
2021-08-15 12:21,----,1.59
2021-08-15 12:22,----,1.59
2021-08-15 12:23,----,1.59
2021-08-15 12:24,----,1.59
2021-08-15 12:25,----,1.60
2021-08-15 12:26,----,1.60
2021-08-15 12:27,----,1.60
2021-08-15 12:28,----,1.60
2021-08-15 12:29,----,1.60
2021-08-15 12:30,----,1.60
2021-08-15 12:31,----,1.60
2021-08-15 12:32,----,1.60
2021-08-15 12:33,----,1.60
2021-08-15 12:34,----,1.60
2021-08-15 12:35,----,1.60
2021-08-15 12:36,----,1.60
2021-08-15 12:37,----,1.60
2021-08-15 12:38,----,1.60
2021-08-15 12:39,----,1.60
2021-08-15 12:40,----,1.61
2021-08-15 12:41,----,1.61
2021-08-15 12:42,----,1.61
2021-08-15 12:43,----,1.61
2021-08-15 12:44,----,1.61
2021-08-15 12:45,----,1.61
2021-08-15 12:46,----,1.61
2021-08-15 12:47,----,1.61
2021-08-15 12:48,----,1.61
2021-08-15 12:49,----,1.61
2021-08-15 12:50,----,1.61
2021-08-15 12:51,----,1.61
2021-08-15 12:52,----,1.61
2021-08-15 12:53,----,1.61
2021-08-15 12:54,----,1.61
2021-08-15 12:55,----,1.62
2021-08-15 12:56,----,1.62
2021-08-15 12:57,----,1.62
2021-08-15 12:58,----,1.62
2021-08-15 12:59,----,1.62
2021-08-15 13:00,----,1.62
2021-08-15 13:01,----,1.62
2021-08-15 13:02,----,1.62
2021-08-15 13:03,----,1.62
2021-08-15 13:04,----,1.62
2021-08-15 13:05,----,1.62
2021-08-15 13:06,----,1.62
2021-08-15 13:07,----,1.62
2021-08-15 13:08,----,1.63
2021-08-15 13:09,----,1.63
2021-08-15 13:10,----,1.63
2021-08-15 13:11,----,1.63
2021-08-15 13:12,----,1.63
2021-08-15 13:13,----,1.63
2021-08-15 13:14,----,1.63
2021-08-15 13:15,----,1.63
2021-08-15 13:16,----,1.63
2021-08-15 13:17,----,1.63
2021-08-15 13:18,----,1.63
2021-08-15 13:19,----,1.63
2021-08-15 13:20,----,1.64
2021-08-15 13:21,----,1.64
2021-08-15 13:22,----,1.64
2021-08-15 13:23,----,1.64
2021-08-15 13:24,----,1.64
2021-08-15 13:25,----,1.64
2021-08-15 13:26,----,1.64
2021-08-15 13:27,----,1.64
2021-08-15 13:28,----,1.64
2021-08-15 13:29,----,1.64
2021-08-15 13:30,----,1.64
2021-08-15 13:31,----,1.65
2021-08-15 13:32,----,1.65
2021-08-15 13:33,----,1.65
2021-08-15 13:34,----,1.65
2021-08-15 13:35,----,1.65
2021-08-15 13:36,----,1.65
2021-08-15 13:37,----,1.65
2021-08-15 13:38,----,1.65
2021-08-15 13:39,----,1.65
2021-08-15 13:40,----,1.65
2021-08-15 13:41,----,1.65
2021-08-15 13:42,----,1.65
