Date,Temp,RH
2021/08/27 0:00,29.4,,
2021/08/27 0:01,29.4,,
2021/08/27 0:02,29.4,,
2021/08/27 0:03,29.4,,
2021/08/27 0:04,29.3,,
2021/08/27 0:05,29.4,,
2021/08/27 0:06,29.4,,
2021/08/27 0:07,29.3,,
2021/08/27 0:08,29.3,,
2021/08/27 0:09,29.3,,
2021/08/27 0:10,29.2,,
2021/08/27 0:11,29.2,,
2021/08/27 0:12,29.2,,
2021/08/27 0:13,29.2,,
2021/08/27 0:14,29.2,,
2021/08/27 0:15,29.2,,
2021/08/27 0:16,29.2,,
2021/08/27 0:17,29.2,,
2021/08/27 0:18,29.2,,
2021/08/27 0:19,29.3,,
2021/08/27 0:20,29.3,,
2021/08/27 0:21,29.3,,
2021/08/27 0:22,29.3,,
2021/08/27 0:23,29.3,,
2021/08/27 0:24,29.3,,
2021/08/27 0:25,29.3,,
2021/08/27 0:26,29.3,,
2021/08/27 0:27,29.4,,
2021/08/27 0:28,29.4,,
2021/08/27 0:29,29.5,,
2021/08/27 0:30,29.5,,
2021/08/27 0:31,29.4,,
2021/08/27 0:32,29.4,,
2021/08/27 0:33,29.4,,
2021/08/27 0:34,29.4,,
2021/08/27 0:35,29.4,,
2021/08/27 0:36,29.4,,
2021/08/27 0:37,29.4,,
2021/08/27 0:38,29.4,,
2021/08/27 0:39,29.4,,
2021/08/27 0:40,29.4,,
2021/08/27 0:41,29.4,,
2021/08/27 0:42,29.4,,
2021/08/27 0:43,29.4,,
2021/08/27 0:44,29.4,,
2021/08/27 0:45,29.4,,
2021/08/27 0:46,29.4,,
2021/08/27 0:47,29.4,,
2021/08/27 0:48,29.4,,
2021/08/27 0:49,29.4,,
2021/08/27 0:50,29.3,,
2021/08/27 0:51,29.3,,
2021/08/27 0:52,29.3,,
2021/08/27 0:53,29.3,,
2021/08/27 0:54,29.3,,
2021/08/27 0:55,29.3,,
2021/08/27 0:56,29.3,,
2021/08/27 0:57,29.2,,
2021/08/27 0:58,29.2,,
2021/08/27 0:59,29.1,,
2021/08/27 1:00,29.1,,
2021/08/27 1:01,29.1,,
2021/08/27 1:02,29.0,,
2021/08/27 1:03,29.0,,
2021/08/27 1:04,29.0,,
2021/08/27 1:05,29.0,,
2021/08/27 1:06,29.0,,
2021/08/27 1:07,29.0,,
2021/08/27 1:08,29.0,,
2021/08/27 1:09,28.9,,
2021/08/27 1:10,28.9,,
2021/08/27 1:11,28.9,,
2021/08/27 1:12,28.9,,
2021/08/27 1:13,28.8,,
2021/08/27 1:14,28.8,,
2021/08/27 1:15,28.8,,
2021/08/27 1:16,28.8,,
2021/08/27 1:17,28.7,,
2021/08/27 1:18,28.7,,
2021/08/27 1:19,28.7,,
2021/08/27 1:20,28.7,,
2021/08/27 1:21,28.7,,
2021/08/27 1:22,28.7,,
2021/08/27 1:23,28.7,,
2021/08/27 1:24,28.7,,
2021/08/27 1:25,28.7,,
2021/08/27 1:26,28.7,,
2021/08/27 1:27,28.7,,
2021/08/27 1:28,28.7,,
2021/08/27 1:29,28.6,,
2021/08/27 1:30,28.6,,
2021/08/27 1:31,28.6,,
2021/08/27 1:32,28.6,,
2021/08/27 1:33,28.6,,
2021/08/27 1:34,28.6,,
2021/08/27 1:35,28.6,,
2021/08/27 1:36,28.6,,
2021/08/27 1:37,28.6,,
2021/08/27 1:38,28.6,,
2021/08/27 1:39,28.6,,
2021/08/27 1:40,28.6,,
2021/08/27 1:41,28.6,,
2021/08/27 1:42,28.6,,
2021/08/27 1:43,28.6,,
2021/08/27 1:44,28.6,,
2021/08/27 1:45,28.6,,
2021/08/27 1:46,28.6,,
2021/08/27 1:47,28.6,,
2021/08/27 1:48,28.6,,
2021/08/27 1:49,28.6,,
2021/08/27 1:50,28.6,,
2021/08/27 1:51,28.6,,
2021/08/27 1:52,28.6,,
2021/08/27 1:53,28.6,,
2021/08/27 1:54,28.6,,
2021/08/27 1:55,28.6,,
2021/08/27 1:56,28.6,,
2021/08/27 1:57,28.6,,
2021/08/27 1:58,28.6,,
2021/08/27 1:59,28.6,,
2021/08/27 2:00,28.6,,
2021/08/27 2:01,28.6,,
2021/08/27 2:02,28.6,,
2021/08/27 2:03,28.6,,
2021/08/27 2:04,28.6,,
2021/08/27 2:05,28.6,,
2021/08/27 2:06,28.6,,
2021/08/27 2:07,28.6,,
2021/08/27 2:08,28.7,,
2021/08/27 2:09,28.7,,
2021/08/27 2:10,28.7,,
2021/08/27 2:11,28.7,,
2021/08/27 2:12,28.7,,
2021/08/27 2:13,28.7,,
2021/08/27 2:14,28.7,,
2021/08/27 2:15,28.7,,
2021/08/27 2:16,28.7,,
2021/08/27 2:17,28.7,,
2021/08/27 2:18,28.6,,
2021/08/27 2:19,28.6,,
2021/08/27 2:20,28.6,,
