Date,Temp,RH
2021/07/03 0:00,28.4,92
2021/07/03 0:01,28.4,92
2021/07/03 0:02,28.4,92
2021/07/03 0:03,28.4,92
2021/07/03 0:04,28.4,92
2021/07/03 0:05,28.4,92
2021/07/03 0:06,28.3,92
2021/07/03 0:07,28.4,91
2021/07/03 0:08,28.4,91
2021/07/03 0:09,28.5,91
2021/07/03 0:10,28.4,91
2021/07/03 0:11,28.4,91
2021/07/03 0:12,28.4,91
2021/07/03 0:13,28.4,90
2021/07/03 0:14,28.4,90
2021/07/03 0:15,28.4,91
2021/07/03 0:16,28.4,91
2021/07/03 0:17,28.4,91
2021/07/03 0:18,28.4,91
2021/07/03 0:19,28.4,91
2021/07/03 0:20,28.4,91
2021/07/03 0:21,28.5,91
2021/07/03 0:22,28.5,91
2021/07/03 0:23,28.5,91
2021/07/03 0:24,28.5,91
2021/07/03 0:25,28.5,91
2021/07/03 0:26,28.4,91
2021/07/03 0:27,28.4,91
2021/07/03 0:28,28.4,91
2021/07/03 0:29,28.4,91
2021/07/03 0:30,28.4,92
2021/07/03 0:31,28.4,92
2021/07/03 0:32,28.4,92
2021/07/03 0:33,28.4,92
2021/07/03 0:34,28.3,92
2021/07/03 0:35,28.4,92
2021/07/03 0:36,28.4,92
2021/07/03 0:37,28.4,92
2021/07/03 0:38,28.4,92
2021/07/03 0:39,28.3,92
2021/07/03 0:40,,,
2021/07/03 0:41,,,
2021/07/03 0:42,28.3,92
2021/07/03 0:43,28.2,92
2021/07/03 0:44,28.4,92
2021/07/03 0:45,28.3,92
2021/07/03 0:46,28.3,92
2021/07/03 0:47,28.2,92
2021/07/03 0:48,28.3,92
2021/07/03 0:49,28.3,92
2021/07/03 0:50,28.3,92
2021/07/03 0:51,28.3,92
2021/07/03 0:52,28.4,92
2021/07/03 0:53,28.3,91
2021/07/03 0:54,28.3,90
2021/07/03 0:55,28.4,90
2021/07/03 0:56,28.4,90
2021/07/03 0:57,28.5,90
2021/07/03 0:58,28.4,90
2021/07/03 0:59,28.4,91
2021/07/03 1:00,28.5,91
2021/07/03 1:01,28.4,91
2021/07/03 1:02,28.5,91
2021/07/03 1:03,28.5,91
2021/07/03 1:04,28.5,91
2021/07/03 1:05,28.4,91
2021/07/03 1:06,28.4,91
2021/07/03 1:07,28.4,91
2021/07/03 1:08,28.4,91
2021/07/03 1:09,28.4,91
2021/07/03 1:10,28.4,91
2021/07/03 1:11,28.4,91
2021/07/03 1:12,28.3,91
2021/07/03 1:13,28.2,91
2021/07/03 1:14,28.3,91
2021/07/03 1:15,28.3,91
2021/07/03 1:16,28.3,91
2021/07/03 1:17,28.3,91
2021/07/03 1:18,28.3,91
2021/07/03 1:19,28.3,91
2021/07/03 1:20,28.2,91
2021/07/03 1:21,28.2,91
2021/07/03 1:22,28.2,91
2021/07/03 1:23,28.2,91
2021/07/03 1:24,28.3,91
2021/07/03 1:25,28.3,91
2021/07/03 1:26,28.2,91
2021/07/03 1:27,28.2,91
2021/07/03 1:28,28.3,91
2021/07/03 1:29,28.2,91
2021/07/03 1:30,28.2,91
2021/07/03 1:31,28.2,91
2021/07/03 1:32,28.2,92
2021/07/03 1:33,28.2,92
2021/07/03 1:34,28.2,92
2021/07/03 1:35,28.2,92
2021/07/03 1:36,28.2,92
2021/07/03 1:37,28.2,91
2021/07/03 1:38,28.2,91
2021/07/03 1:39,28.1,92
2021/07/03 1:40,28.1,92
2021/07/03 1:41,28.1,92
2021/07/03 1:42,28.1,92
2021/07/03 1:43,28.1,92
2021/07/03 1:44,28.2,92
2021/07/03 1:45,28.1,92
2021/07/03 1:46,28.2,92
2021/07/03 1:47,28.2,92
2021/07/03 1:48,28.2,92
2021/07/03 1:49,28.2,92
2021/07/03 1:50,28.1,92
2021/07/03 1:51,28.1,92
2021/07/03 1:52,28.1,92
2021/07/03 1:53,28.1,91
2021/07/03 1:54,28.1,91
2021/07/03 1:55,28.1,91
2021/07/03 1:56,28.2,91
2021/07/03 1:57,28.2,91
2021/07/03 1:58,28.2,91
2021/07/03 1:59,28.2,92
2021/07/03 2:00,28.2,92
2021/07/03 2:01,28.2,92
2021/07/03 2:02,28.2,92
2021/07/03 2:03,28.2,92
2021/07/03 2:04,28.1,91
2021/07/03 2:05,28.1,91
2021/07/03 2:06,28.1,91
2021/07/03 2:07,28.1,91
2021/07/03 2:08,28.1,91
2021/07/03 2:09,28.1,91
2021/07/03 2:10,28.1,91
2021/07/03 2:11,28.2,91
2021/07/03 2:12,28.1,91
2021/07/03 2:13,28.1,91
2021/07/03 2:14,28.1,91
2021/07/03 2:15,28.1,91
2021/07/03 2:16,28.1,91
2021/07/03 2:17,28.1,90
2021/07/03 2:18,28.1,90
2021/07/03 2:19,28.1,90
2021/07/03 2:20,28.2,91
2021/07/03 2:21,28.1,91
2021/07/03 2:22,28.1,91
2021/07/03 2:23,28.1,91
2021/07/03 2:24,28.1,91
2021/07/03 2:25,28.1,91
2021/07/03 2:26,28.1,91
2021/07/03 2:27,28.1,91
2021/07/03 2:28,28.1,91
2021/07/03 2:29,28.1,91
2021/07/03 2:30,28.1,91
2021/07/03 2:31,28.1,91
2021/07/03 2:32,28.1,91
2021/07/03 2:33,28.1,91
2021/07/03 2:34,28.1,91
2021/07/03 2:35,28.1,91
2021/07/03 2:36,28.1,91
2021/07/03 2:37,28.1,91
2021/07/03 2:38,28.1,91
2021/07/03 2:39,28.1,91
2021/07/03 2:40,28.1,91
2021/07/03 2:41,28.2,91
2021/07/03 2:42,28.1,91
2021/07/03 2:43,28.1,91
2021/07/03 2:44,28.0,91
2021/07/03 2:45,28.1,91
2021/07/03 2:46,28.1,91
2021/07/03 2:47,28.1,91
2021/07/03 2:48,28.1,91
2021/07/03 2:49,28.0,91
2021/07/03 2:50,28.0,91
2021/07/03 2:51,28.0,91
2021/07/03 2:52,28.0,91
2021/07/03 2:53,28.0,91
2021/07/03 2:54,28.1,91
2021/07/03 2:55,28.1,91
2021/07/03 2:56,28.1,91
2021/07/03 2:57,28.0,91
2021/07/03 2:58,28.1,91
2021/07/03 2:59,28.1,91
2021/07/03 3:00,28.1,91
2021/07/03 3:01,28.1,91
2021/07/03 3:02,28.0,91
2021/07/03 3:03,28.0,91
2021/07/03 3:04,28.0,91
2021/07/03 3:05,28.0,91
2021/07/03 3:06,28.0,92
2021/07/03 3:07,28.0,92
2021/07/03 3:08,28.0,91
