Date,Temp,RH
2021/08/18 0:00,27.6,88
2021/08/18 0:01,27.6,88
2021/08/18 0:02,27.6,88
2021/08/18 0:03,27.6,88
2021/08/18 0:04,27.6,88
2021/08/18 0:05,27.6,88
2021/08/18 0:06,27.6,88
2021/08/18 0:07,27.6,88
2021/08/18 0:08,27.6,88
2021/08/18 0:09,27.6,88
2021/08/18 0:10,27.6,88
2021/08/18 0:11,27.6,88
2021/08/18 0:12,27.6,88
2021/08/18 0:13,27.6,87
2021/08/18 0:14,27.6,86
2021/08/18 0:15,27.6,86
2021/08/18 0:16,27.6,86
2021/08/18 0:17,27.6,86
2021/08/18 0:18,27.6,86
2021/08/18 0:19,27.6,87
2021/08/18 0:20,27.6,88
2021/08/18 0:21,27.6,88
2021/08/18 0:22,27.6,88
2021/08/18 0:23,27.6,88
2021/08/18 0:24,27.6,88
2021/08/18 0:25,27.6,88
2021/08/18 0:26,27.6,88
2021/08/18 0:27,27.6,88
2021/08/18 0:28,27.6,87
2021/08/18 0:29,27.6,87
2021/08/18 0:30,27.6,87
2021/08/18 0:31,27.6,87
2021/08/18 0:32,27.6,87
2021/08/18 0:33,27.6,87
2021/08/18 0:34,27.6,88
2021/08/18 0:35,27.6,88
2021/08/18 0:36,27.6,88
2021/08/18 0:37,27.5,90
2021/08/18 0:38,27.6,88
2021/08/18 0:39,27.5,89
2021/08/18 0:40,27.5,89
2021/08/18 0:41,27.5,90
2021/08/18 0:42,27.5,90
2021/08/18 0:43,27.5,90
2021/08/18 0:44,27.5,88
2021/08/18 0:45,27.5,88
2021/08/18 0:46,27.4,88
2021/08/18 0:47,27.4,88
2021/08/18 0:48,27.4,88
2021/08/18 0:49,27.4,88
2021/08/18 0:50,27.4,88
2021/08/18 0:51,27.4,88
2021/08/18 0:52,27.4,88
2021/08/18 0:53,27.4,88
2021/08/18 0:54,27.4,88
2021/08/18 0:55,27.4,88
2021/08/18 0:56,27.4,88
2021/08/18 0:57,27.4,88
2021/08/18 0:58,27.4,89
2021/08/18 0:59,27.4,89
2021/08/18 1:00,27.4,89
2021/08/18 1:01,27.4,89
2021/08/18 1:02,27.4,89
2021/08/18 1:03,27.4,89
2021/08/18 1:04,27.4,89
2021/08/18 1:05,27.4,90
2021/08/18 1:06,27.4,90
2021/08/18 1:07,27.4,90
2021/08/18 1:08,27.4,90
2021/08/18 1:09,27.4,91
2021/08/18 1:10,27.4,91
2021/08/18 1:11,27.4,91
2021/08/18 1:12,27.4,90
2021/08/18 1:13,27.4,90
2021/08/18 1:14,27.4,90
2021/08/18 1:15,27.4,89
2021/08/18 1:16,27.5,88
2021/08/18 1:17,27.5,89
2021/08/18 1:18,27.5,89
2021/08/18 1:19,27.5,89
2021/08/18 1:20,27.4,89
2021/08/18 1:21,27.4,89
2021/08/18 1:22,27.4,89
2021/08/18 1:23,27.4,88
2021/08/18 1:24,27.4,88
2021/08/18 1:25,27.4,88
2021/08/18 1:26,27.4,89
2021/08/18 1:27,27.4,89
2021/08/18 1:28,27.4,89
2021/08/18 1:29,27.4,89
2021/08/18 1:30,27.4,90
2021/08/18 1:31,27.4,90
2021/08/18 1:32,27.4,90
2021/08/18 1:33,27.4,90
2021/08/18 1:34,27.4,90
2021/08/18 1:35,27.4,90
2021/08/18 1:36,27.4,90
2021/08/18 1:37,27.4,90
2021/08/18 1:38,27.3,91
2021/08/18 1:39,27.3,91
2021/08/18 1:40,27.3,91
2021/08/18 1:41,27.3,91
2021/08/18 1:42,27.3,91
2021/08/18 1:43,27.3,91
2021/08/18 1:44,27.3,91
2021/08/18 1:45,27.3,91
2021/08/18 1:46,27.3,91
2021/08/18 1:47,27.3,91
2021/08/18 1:48,27.3,90
2021/08/18 1:49,27.3,90
2021/08/18 1:50,27.3,90
2021/08/18 1:51,27.3,91
2021/08/18 1:52,27.3,91
2021/08/18 1:53,27.3,91
2021/08/18 1:54,27.3,91
2021/08/18 1:55,27.3,91
2021/08/18 1:56,27.2,91
2021/08/18 1:57,27.2,91
2021/08/18 1:58,27.2,91
2021/08/18 1:59,27.3,90
2021/08/18 2:00,27.3,90
2021/08/18 2:01,27.3,91
2021/08/18 2:02,27.2,91
2021/08/18 2:03,27.2,91
2021/08/18 2:04,27.2,91
2021/08/18 2:05,27.2,91
2021/08/18 2:06,27.2,91
2021/08/18 2:07,27.2,90
2021/08/18 2:08,27.2,90
2021/08/18 2:09,27.2,90
2021/08/18 2:10,27.2,90
2021/08/18 2:11,27.2,91
2021/08/18 2:12,27.2,91
2021/08/18 2:13,27.2,91
2021/08/18 2:14,27.2,91
2021/08/18 2:15,27.2,91
2021/08/18 2:16,27.2,91
2021/08/18 2:17,27.2,91
2021/08/18 2:18,27.2,90
2021/08/18 2:19,27.2,90
2021/08/18 2:20,27.2,90
2021/08/18 2:21,27.2,90
2021/08/18 2:22,27.2,91
2021/08/18 2:23,27.2,91
