Date,Wind Spd, Wind Dir
2021/08/24 0:00,0.0,0
2021/08/24 0:01,0.0,0
2021/08/24 0:02,0.0,0
2021/08/24 0:03,0.0,0
2021/08/24 0:04,0.0,0
2021/08/24 0:05,0.0,0
2021/08/24 0:06,0.0,0
2021/08/24 0:07,0.0,0
2021/08/24 0:08,0.0,0
2021/08/24 0:09,0.0,0
2021/08/24 0:10,0.0,0
2021/08/24 0:11,0.0,0
2021/08/24 0:12,0.0,0
2021/08/24 0:13,0.0,0
2021/08/24 0:14,0.0,0
2021/08/24 0:15,0.0,0
2021/08/24 0:16,0.0,0
2021/08/24 0:17,0.0,0
2021/08/24 0:18,0.0,0
2021/08/24 0:19,0.0,0
2021/08/24 0:20,0.0,0
2021/08/24 0:21,0.0,0
2021/08/24 0:22,0.0,0
2021/08/24 0:23,0.0,0
2021/08/24 0:24,0.0,0
2021/08/24 0:25,0.0,0
2021/08/24 0:26,0.0,0
2021/08/24 0:27,0.0,0
2021/08/24 0:28,0.0,0
2021/08/24 0:29,0.0,0
2021/08/24 0:30,0.0,0
2021/08/24 0:31,0.0,0
2021/08/24 0:32,0.0,0
2021/08/24 0:33,0.0,0
2021/08/24 0:34,0.0,0
2021/08/24 0:35,0.0,0
2021/08/24 0:36,0.0,0
2021/08/24 0:37,0.0,0
2021/08/24 0:38,0.0,0
2021/08/24 0:39,0.0,0
2021/08/24 0:40,0.0,0
2021/08/24 0:41,0.0,0
2021/08/24 0:42,0.0,0
2021/08/24 0:43,0.0,0
2021/08/24 0:44,0.0,0
2021/08/24 0:45,0.0,0
2021/08/24 0:46,0.0,0
2021/08/24 0:47,0.0,0
2021/08/24 0:48,0.0,0
2021/08/24 0:49,0.0,0
2021/08/24 0:50,0.0,0
2021/08/24 0:51,0.0,0
2021/08/24 0:52,0.0,0
2021/08/24 0:53,0.0,0
2021/08/24 0:54,0.0,0
2021/08/24 0:55,0.0,0
2021/08/24 0:56,0.0,0
2021/08/24 0:57,0.0,0
2021/08/24 0:58,0.0,0
2021/08/24 0:59,0.0,0
2021/08/24 1:00,0.0,0
2021/08/24 1:01,0.0,0
2021/08/24 1:02,0.0,0
2021/08/24 1:03,0.0,0
2021/08/24 1:04,0.0,0
2021/08/24 1:05,0.0,0
2021/08/24 1:06,0.0,0
2021/08/24 1:07,0.0,0
2021/08/24 1:08,0.0,0
2021/08/24 1:09,0.0,0
2021/08/24 1:10,0.0,0
2021/08/24 1:11,0.0,0
2021/08/24 1:12,0.0,0
2021/08/24 1:13,0.0,0
2021/08/24 1:14,0.0,0
2021/08/24 1:15,0.0,0
2021/08/24 1:16,0.0,0
