Date,Temp,RH
2021/07/26 0:00,28.9,87
2021/07/26 0:01,28.9,87
2021/07/26 0:02,28.9,87
2021/07/26 0:03,28.9,87
2021/07/26 0:04,28.9,87
2021/07/26 0:05,28.9,87
2021/07/26 0:06,28.8,88
2021/07/26 0:07,28.8,89
2021/07/26 0:08,28.8,89
2021/07/26 0:09,28.8,88
2021/07/26 0:10,28.8,88
2021/07/26 0:11,28.8,88
2021/07/26 0:12,28.8,88
2021/07/26 0:13,28.8,88
2021/07/26 0:14,28.7,89
2021/07/26 0:15,28.7,89
2021/07/26 0:16,28.7,89
2021/07/26 0:17,28.7,88
2021/07/26 0:18,28.7,89
2021/07/26 0:19,28.7,89
2021/07/26 0:20,28.7,89
2021/07/26 0:21,28.7,89
2021/07/26 0:22,28.7,89
2021/07/26 0:23,28.7,89
2021/07/26 0:24,28.7,88
2021/07/26 0:25,28.7,88
2021/07/26 0:26,28.7,88
2021/07/26 0:27,28.7,88
2021/07/26 0:28,28.6,89
2021/07/26 0:29,28.7,88
2021/07/26 0:30,28.6,89
2021/07/26 0:31,28.6,89
2021/07/26 0:32,28.6,89
2021/07/26 0:33,28.6,89
2021/07/26 0:34,28.6,89
2021/07/26 0:35,28.6,90
2021/07/26 0:36,28.6,90
2021/07/26 0:37,28.6,90
2021/07/26 0:38,28.6,89
2021/07/26 0:39,28.6,90
2021/07/26 0:40,28.6,90
2021/07/26 0:41,28.5,91
2021/07/26 0:42,28.5,90
2021/07/26 0:43,28.5,90
2021/07/26 0:44,28.5,90
2021/07/26 0:45,28.5,89
2021/07/26 0:46,28.5,89
2021/07/26 0:47,28.5,89
2021/07/26 0:48,28.5,89
2021/07/26 0:49,28.5,89
2021/07/26 0:50,28.5,90
2021/07/26 0:51,28.5,90
2021/07/26 0:52,28.5,90
2021/07/26 0:53,28.5,90
2021/07/26 0:54,28.5,90
2021/07/26 0:55,28.5,90
2021/07/26 0:56,28.5,90
2021/07/26 0:57,28.5,91
2021/07/26 0:58,28.5,91
2021/07/26 0:59,28.5,91
2021/07/26 1:00,28.5,91
2021/07/26 1:01,28.4,92
2021/07/26 1:02,28.4,92
2021/07/26 1:03,28.4,91
2021/07/26 1:04,28.4,91
2021/07/26 1:05,28.4,90
2021/07/26 1:06,28.4,90
2021/07/26 1:07,28.4,90
2021/07/26 1:08,28.4,90
2021/07/26 1:09,28.4,91
2021/07/26 1:10,28.4,91
2021/07/26 1:11,28.4,92
2021/07/26 1:12,28.4,92
2021/07/26 1:13,28.4,92
2021/07/26 1:14,28.4,92
2021/07/26 1:15,28.4,91
2021/07/26 1:16,28.4,91
2021/07/26 1:17,28.4,91
2021/07/26 1:18,28.4,91
2021/07/26 1:19,28.4,91
2021/07/26 1:20,28.4,91
2021/07/26 1:21,28.4,91
2021/07/26 1:22,28.5,90
2021/07/26 1:23,28.5,90
2021/07/26 1:24,28.5,90
2021/07/26 1:25,28.5,90
2021/07/26 1:26,28.5,90
2021/07/26 1:27,28.5,90
2021/07/26 1:28,28.4,91
2021/07/26 1:29,28.4,91
2021/07/26 1:30,28.4,91
2021/07/26 1:31,28.4,92
2021/07/26 1:32,28.4,92
2021/07/26 1:33,28.4,92
